project, commit_order, commit_results, commit_origin
apache_ant,1.0,2af8734913072c2ddbc31464edef33939baf16af,initialcommit
apache_ant,2.0,557cba973c61657f5f471cba193c8e1f2a98c7f2,2c4c28cd440ceff0fe517de99f5291a63b35004b
apache_ant,3.0,81f7d668bec9dee86366af7b68ef06a4534cf6ee,5a0d2d1f174f6ddef40ebab925b4aeb02646adab
apache_ant,4.0,bd491bc792b7598f8e832dd9199983078086f56e,13c6aaa37ceecaaba0a952d6a16fb34cc9bc1212
apache_ant,5.0,f4ae69f50fe53b46ea001b339055af84f9721117,96dc65b2dab50095571927a088ddcf8c3f46ac19
apache_ant,6.0,2603c9d2b89c6ed93766fe71ad76d054c85f2daa,fd4ff0120ab95c38554c071ee193a64141d1c987
apache_ant,7.0,9fa5bf50b34451206e3d78f991ba76be51368496,166ce26357f86f140eaad70bfa0c90b98c87d49f
apache_ant,8.0,32376b70573ed810a05978ab4663847dc914cb28,fd0fb26cc5f834595ffbd397550e1555691c299a
apache_ant,9.0,b32129b6f07b487cafcda59e3870462d4a870b2b,ea7091756bb65ba5667ac8246efba6ac3f04322e
apache_ant,10.0,78acdd0f49bd2411e87703b0e8602a3d94debd33,5710193e1464397b3093207c22f2cb8b28275c71
apache_ant,11.0,ffe4ca42fd5eb740716905d1f9104a02dc5997ef,49896d33693b9fb3b766757c566fc862a6f0c0cf
apache_ant,12.0,603438713675bb98b849b501bd43d874b41c78c3,1630d0c0ff3bb7d06fb11cf04fa50ada64740dd9
apache_ant,13.0,56ca1e44187e07d888d43b1a67662e52813e4294,4bd9b4a6e473a9188124989315f75b778ad2a363
apache_ant,14.0,409d3e033227e05b2f75d221d473b2ee70dc491a,526df1e155a1b555d00a8eccae86e355e96787db
apache_ant,15.0,8f47fe1f9b26bede4f84255bea757052219b31d6,54f5c5fbbd51f2f7bf239756010f49fdfc99dd55
apache_ant,16.0,372359614a6d8c8f598681c8407c6979c094be53,474d23b554cef3164e5edc65ab1d1a52727b9b42
apache_ant,17.0,f9ddce7410912b8b9a334396c2b7d18abf5f9c7d,a20c41951b850644b2b2cc3cbf17c696e6e0529c
apache_ant,18.0,57dbce77bc78d011907755ebc964afb22c315f59,ceb90ef3eb736227521fd4417d10188d3fcead24
apache_ant,19.0,6319ff121226d90dad423e88d660387ef212d13e,e003f5e0c16f9e7a8081a56829b16784c19553e9
apache_ant,20.0,c8f049e59c10c46eca32d4ac666bbb76bc006002,d556d2c96a291b9ea57a55c5f62062a85d07b309
apache_ant,21.0,8cd1a476d7d3661e34ea2c254eb376c44d3fcfed,d5bd3b4cb30e666fc20e99bb9b5fb9078cf58022
apache_ant,22.0,fbc47eca8e183bae22a7ff45b17436701fc8437c,198d7a2f449b91d7c559e17e2bc472269a8645ac
apache_ant,23.0,c71c94cc8c46b9ba5b1e28c61842972c43d0aa14,3d215101449f63be2c62baf49425a929d758168f
apache_ant,24.0,2c3128e4ff1bf67dbcfb6a157a817bff89a88bc9,b83bdcebf0395250b3ae5e7e4af94ff1400493f0
apache_ant,25.0,ca66e039e3ec9430d9a3a26faa5f1fc51e2d18ce,a92845215f55eb63f0ad911c1610eac4dfaf82b4
