Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Abstract Method,"javax.annotation.Resources.value()",javax/annotation/Resources.java,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,,,,,,0,,0,00,,,,
Package,"javax.annotation.security",javax/annotation/security/DeclareRoles.java,1,1,1,1,1,0,1,0,,,,5,0,0,5,,3,0,3,,0,0,0,3,,155,25,48,43,0,82,,,28,33,33,0,,,,,1,1,1,1,,0,,1,71,3,3,3,3
Public Annotation,"javax.annotation.security.DeclareRoles",javax/annotation/security/DeclareRoles.java,1,1,1,1,1,0,1,0,0,0,0,,0,0,,,1,0,1,1,0,0,0,1,,3,0,3,2,0,0,,,1,2,2,0,,,,,1,1,1,1,0,0,0,0,00,1,1,1,1
Public Abstract Method,"javax.annotation.security.DeclareRoles.value()",javax/annotation/security/DeclareRoles.java,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,,,,,,0,,0,00,,,,
Public Annotation,"javax.annotation.security.DenyAll",javax/annotation/security/DenyAll.java,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,,3,0,2,1,0,1,,,0,1,1,0,,,,,0,0,0,0,0,0,0,0,50,0,0,0,0
Public Annotation,"javax.annotation.security.PermitAll",javax/annotation/security/PermitAll.java,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,,3,0,2,1,0,1,,,0,1,1,0,,,,,0,0,0,0,0,0,0,0,50,0,0,0,0
Public Annotation,"javax.annotation.security.RolesAllowed",javax/annotation/security/RolesAllowed.java,1,1,1,1,1,0,1,0,0,0,0,,0,0,,,1,0,1,1,0,0,0,1,,3,0,3,2,0,0,,,1,2,2,0,,,,,1,1,1,1,0,0,0,0,00,1,1,1,1
Public Abstract Method,"javax.annotation.security.RolesAllowed.value()",javax/annotation/security/RolesAllowed.java,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,,,,,,0,,0,00,,,,
Public Annotation,"javax.annotation.security.RunAs",javax/annotation/security/RunAs.java,1,1,1,1,1,0,1,0,0,0,0,,0,0,,,1,0,1,1,0,0,0,1,,3,0,3,2,0,0,,,1,2,2,0,,,,,1,1,1,1,0,0,0,0,00,1,1,1,1
Public Abstract Method,"javax.annotation.security.RunAs.value()",javax/annotation/security/RunAs.java,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,,,,,,0,,0,00,,,,
Package,"javax.ejb",javax/ejb/EJB.java,1,1,1,1,1,0,1,0,,,,2,0,0,2,,6,0,6,,6,0,0,0,,67,10,25,23,0,33,,,16,18,18,0,,,,,1,1,1,1,,0,,1,32,6,6,6,6
Public Annotation,"javax.ejb.EJB",javax/ejb/EJB.java,1,1,1,1,1,0,1,0,0,0,0,,0,0,,,5,0,5,5,5,0,0,0,,8,0,8,7,0,1,,,5,6,6,0,,,,,1,1,1,1,0,0,0,0,12,5,5,5,5
Abstract Method,"javax.ejb.EJB.beanInterface()",javax/ejb/EJB.java,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,,,,,,0,,0,00,,,,
Abstract Method,"javax.ejb.EJB.beanName()",javax/ejb/EJB.java,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,,,,,,0,,0,00,,,,
